구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
수제딤섬,"분짜 정말 맛있어요
단골이에요","사케동 가격대비 양은 적은편
특별함은 없고 익히 아는맛","이제 부부가 된 저희의 추억이 있는 곳이에요♡ 가츠동을 비롯해 가라아케동, 사케동 등등 기본에 충실해 더 뭐라 할 말이 없을 정도로 맛있게 먹고 갑니다??????
특히 여기 튀김요리 맛있어요!!!",명란보쌈 덮밥 먹고 가고 난 후 두 번째 방문이네요. 데리야끼 보쌈 덮밥이 나와서 맛있게 비벼서 먹었습니다. 가게 주변도 정돈이 잘 되어 있고 혼밥하기 딱 좋은 장소네요!,원래 아비꼬 너무 좋아하는데 오랜만에 먹으니 더 맛있네요 이 지점 양도 진짜 많이주고 너무 맛있어용 하야시카레도 너뮤 맛있어서 강추합니다 >_< 또 올게용!!,"닭다리살로만 이루어진 순살치킨이에요!?? 항상 올때마다 사람이 많아서 웨이팅을 해야했는데, 5시에 오니까 대기 없이 바로 입장할 수 있었어요!?? 후라이드랑 간장 반반인데, 간도 딱 맞고, 너무 맛있어요?? 다음에도 또 방문 예정입니다??",#냠냠 #엠브로돈까스,여기 신촌 맛집입니다 육수가 찐한게 기가맥힙니다,"신촌갈비찜 짚신매운갈비찜 신촌점??
매운걸로 스트레스 팍팍 풀고 싶은 날 생각날 신촌맛집이네요 ㅎㅎ
너어어어어무 맛있네요 ㅠㅠㅠㅠㅠ
매운거 먹고싶을때 또 올게요!","많은 체인점 중에 처음 와보는데
넘 맛있어요 운동하고 먹으면 딱!
더 보람차고 가뿐한 느낌.","음식 퀄리티 좋구 맛있어요! 간단하게 덮밥 먹으러 오기 정말 좋네요 ㅎㅎ 매장도 아늑하니 혼밥 하거나 커플, 친구랑 오기에도 딱 좋습니다! 곱창덮밥은 살짝 매콤하니 좋고 삼겹살덮밥도 간간하니 와사비랑 조합이 최고??",맛있고 친절하규 최고에오!!!!,확실히 숯불에 구워먹는 고기라 진짜 맛있었습니다. 다만 불이 약해서인지 고기가 너무 안 익어요ㅠ 2시간 시간제한 있는데 고기 익는 거 기다리는 데 절반은 쓴 느낌ㅋㅋ 예약등록을 사장님한테 구두로 해야 하는 점이 좀 번거롭긴 했네요. 사장님은 무뚝뚝하셨지만 직원들은 다들 친절하셨어요.
"신촌 근본 맛집, 샤오룽바오는 말할 것도 없고 우육면의 얇은면이 잊혀지지 않아요 ㅎㅎ 너무 맛있습니다",베트남 남부 음식을 파는 식당인데 현지 분위기가 느껴져서 좋음ㅎㅎㅎ,포근한 분위기와 개성있는 메뉴들이 인상적인 가게. 적당한 가격에 연인과 데이트할 식당을 찾는다면 이만한 곳도 없을 듯.,"공간이 혼밥하기에도 너무 좋고 매장도 깔끔해서 근처에서 일보고 방문하기 좋았어요!
육회가 담뿍 올라가있는데 어찌나 신선하던지?
돈부리도 양이 튼실해서 엄청 잘 먹었네용!!
밥 간도 완전 적당하게 잘 되어있어 소스 추가도 필요없이 배불리 먹었어요!",굿 ~,신촌 아비꼬 너무 맛있네요 ! 음식도 금방 나오고 잘 먹었습니다 ??,항상 치킨 먹고 싶을 때마다 와요ㅎㅎ 오늘은 이른 시간에 왔는데 바로 시켜서 잘 먹고갑니다!,양도 많고 맛있어서 너무 좋았어요! 엠브로는 소스가 맛있어서 경양식돈까스가 먹고싶을 때 자주 가는거 같아요~,넘 맛있어요????,매운갈비찜에 볶음밥.계란찜까지..좋아요!,가볍고 건강하게 혼밥하기 좋아요~!,저의 대학생활 끼니를 책임져 준 한술식당... 가격 대비 양도 엄청 많고 너무 맛있습니다... 졸업 전에 마지막으로 와봐요... 곱창덥밮 최고!!,맛있어요 :),맛있게 먹겄습니다??
굿,"비빔쌀국수 먹고팠는데
현지 생각나게끔 맛나게 잘먹고 왔어요!",맛있고 괜찮았어요. 사케동은 양이 적은 것 같아요. 파스타 한 번쯤 먹는 건 괜찮은 것 같아요~ 분위기 좋아요,너무맛있어용 ?? 가성비도 최고고 근처 밥집 중 최고같아여 ???? 또 올게요,"1인보쌈 L사이즈
양이 많지는 않음
간 적절 맛나요","??100시간 카레 (신라면 맵기 1.5맵기) 돈까스 토핑, 올데이세트A(소세지, 치킨가라아게 토핑 +콜라)

??100시간 카레는 다양한 채소와 고기를 오랫동안 푹 끓여 재료 본연의 단맛과 감칠맛이 진하게 느껴져요.
신라면 정도의 매운맛이지만, 맵기 조절이 가능해 취향에 맞게 즐길 수 있는 점이 가장 큰 장점이에요.
소스는 묵직하면서도 살짝 달콤하고,
묽지 않고 걸쭉해 밥과 완벽하게 어우러져요.

??올데이세트A 카레도 100시간 카레와 동일한 소스인데, 재료 본연의 단맛과 감칠맛이 어우러져 밥과 함께 먹기에 딱이에요.
여기에 바삭한 마늘칩 추가했는데 고소하게 씹히는게 완전 킥입니다!!
치킨,소세지 토핑도 너무 맛있어요~!

자세한 후기는 프로필에??",넘 부드럽고 맛있어요!!!????,앰브로돈까스 늘 맛있게 먹어요~!! 매달 방문합니다...,국물이 시원하고 맛있네여 이모님도 너무 친절하세요~ 최고!!??,,Good food,,오징어로 이렇게 맛있는 음식을 먹을 수 있는지 몰랐어요!!! 추천추천해요!!!,"언제가도 맛있는 화로상회
오늘도 기대를 저버리지않고 역시나 맛있어요"
"음식 맛있었습니다. 하지만 음식 나오는 데 너무 시간이 오래 걸리고(샤오롱바오랑 우육면 나오는데 40분 가까이 걸렸습니다) 너무 덥고 불친절하셔서 장단점이 확실합니다. 제가 타이밍이
안맞게 간건지ㅠ 너무 오래 기다려서 좀 지쳤습니다","쌀국수,볶음밥,짜조 시켜서 먹었습니다.
국물도 진하고 새우랑 고기가 들어있어서 맛있어요! 볶음밥도 다양한 채소랑 두부소스가 감칠맛나서 잘어울렸고, 짜조도 바삭하고 안에 고기가 맛나네요?? 사장님도 친절하시고 맛있게 먹었습니당??",붐비지않는시간에 혼밥하가 좋아요 조용하고 직원분들도 친절하세요 양은 조금 적어요 그래도 연어 상태가 두껍고 비리지않고 맛있어요,유케멘이랑 간장새우덮밥 미쳣어요 가라아게도 바로 튀겨나와소 궁합이 너무 좋더라구요 양도많고 가격도 착해서 또 방뭉허료구용!!,굿 ~,늘 먹는 허브치킨 하야시라이스 오늘도 맛있습니다??,"역시 아웃닭은 아웃닭이네요
올때마다 너무 맛있게 먹고 갑니다!!",진짜 맛있어요! 마이럽 엠브로,"여기 우선 반신반의해서 왔습니다
날이 너무 추워서 닭한마리는생각나그요
포기할수없는 날이었거든요

그래서 걍 어느정도 하겠지...
닭한마리 별거인가? 하도 왔는데

먼저 선도착한 제가 혼자 어색할까봐
따뜻한말한마디로 편안함을 주셨구요
닭한마리 먹기시작하니
국물이 지나지게 맛있어서
결국 칼국수 사리에 닭죽까지 먹어
국물 한방울 없이 식사 했습니다

흑백 요리사 나갔다면
무비개 빛깔?? ㅎㅎ
맛있게 잘먹고 갑니다^^

이모님들 최고????",세트A로 주문해서 먹었어요. 고츄만두는 쿠폰으로 먹었어요. 고기가 너무 오래 삶아서 다 찢어지는 느낌이였어요. 고기에 신경을 쓰시면 좋겠어요. ㅠ,가게도 넓고 쾌적합니다,"맛있어요!! 신촌 데이트 맛집은 여기로ㅎㅎ 다음에 또 올게요!~!
(앞에 있는게 메가사이즈 멀리있는게 기본사이즈)",해탄한상이 대박이에용!!,완전 신선하고 도톰한 고기 맛집이에요! ?? 무한리필이라니! 재방문 의사 넘치고 넘칩니다! 육즙 가득하고 고기 종류 많아서 좋아요! 껍데기랑 막창까지! 그리고 셀프바가 엄청 깔끔하게 운영되고 있고 소스도 종류가 엄청 많아요. 밥도 무한리필! 오마카세처럼 새로 리뉴얼 된거라고 해요! 꼭 방문해보세요! 냉면 사이드메뉴 강추합니다.??
조금 짜요...,맛있어요,"사케동 연어가 두툼하고 밥 간이 딱 맛있었어요. 같이 나온 양파절임 곁들여 먹으니 느끼하지 않고 좋았어요. 양이 많은 편은 아닌데 그렇게 적은 편도 아니라서 ㅎㅎ 기분좋은
한 끼로 좋았어요. 안쪽에 앉으니 대화하기도 편했어요 ㅎㅎ","육회덮밥 소스가 특이해요!
혼자 먹기에 좋은 곳이에요",싸움의 고수 보쌈집을 오래간만에 찾아와서 명란마요보쌈 덮밥을 먹었습니다. 매운 보쌈을 주로 선호하는데 순한 맛을 즐기고 싶어서 오게 되었습니다. 인테리어도 좋고 차분하게 밥을 먹을 수가 있어서 좋아요!,버섯함박 믹스는 처음 먹어보는데 재료도 신선하고 면도 꼬들하니 맛있었어요! 지존단계로 주문했는데 제 입맛에 딱 맞게 좋았어요!!,"친구들과 함께 아웃닭 먹고싶어서 왔는데 기대만큼 맛있어용??
구성이 좋아서 자주 찾는 곳이랍니다????????",치즈돈가스와 땡초돈가스 맛잇게 먹고갑니다?? 땡초돈가스 매콤한게 계속 먹게되는 맛이엇어요!!,"마법의 소스로 만들어져서 그런지 굉장히 맛있었어요!!
닭 한마리 먹었는데 국물이 시원하고 간도 적당히 되어있어 계속 생각나는 마법..! 마지막에 닭죽까지 꼭 드세요!! 강추!! 블루리본 맛집 추천!!!",술 먹기 좋아요,"받자마자 다 먹어서… 사진을 못찍엇네요
역시 믿먹프레스
홍대에도 곧 생기던데 너무 행복합니다ㅠㅠ",,가성비 갑! 최고입니다~!,항상 가는 곳인데 이번에 소스 리뉴얼되서 엄청 다양해지고 맛있었어요~!
우육면 진짜 맛있어요!,여기 음식 잘해요.,맛있는 파스타 냄새가 가득한 식당입니다.,"항상 갈때마다
친절하게 맞이해주시고
정말 맛있습니다!!",1인 보쌈/삼겹살 정식이 맛있어요.,밥과 카레 리필로 먹기 좋아요!,완저니 맛있어뇨??,"좋아요
아이와 먹기 좋아요",너무 맛있고 국물이 얼큰해요~,"맵기 선택할 수 있고, 고기 잡내없이 부드럽고 맛있어요. 밑반찬도 바로 리필해줘서 좋아요.",맨날먹는데 이 메뉴를 매장에서는 첨 먹어봤어요 역시 굿이네요 우하핫 자주 애용할게요,"사람도 많고 맛있어요
가성비가 좋아요!",마지막 해장탕 마무리 찐입니다!!! 소주 안 마시는데 소주가 맛있게 들어가요,"진짜 야무집니다.. 무한리필 고깃집 많이 가봤는데 손에꼽게 고기가 맛있는 집이에요!! 웰컴플레이트로 고기 종류 조금씩 맛 볼 수 있는 것도 너무 좋았고, 더 먹고싶은거 추가도 마음껏 할 수 있어 너무 좋았어요!! 게다가 막창에 껍데기도 먹을 수 있어 개굿.. 셀프바 종류도 미쳤고 소스 종류도 엄청나서 골라먹는 재미가 있어요!! 가성비도 좋고 사장님도 친절하시고 왕왕 추천합니다.. 고기 땡길때 자주올게요 사랑해요"
조아요,"이전에 먹던 똠얌쌀국수가 먹고 싶어서 방문했는데, 국물맛은 똠얌베이스인데 좀 더 매콤해졌고, 들어가는 재료가 해산물에서 돼지고기, 햄 등으로 바뀌었더라고요! 바뀐것도 맛있었지만 이전 레시피가 그리워요??",일식과 양식이 공존하는데 전부 맛있네요! 고르곤졸라 피자는 거기서 거기일 거란 생각에 기대 안 했는데 엄청 맛있어서 놀랐습니다.. 담엔 블루베리 피자에 도전해보겠어요,"신촌에서 유명한 돈부리집 십년이 넘도록 오랫동안 있는 것이 말 다했죠^^! 변함없는 맛과 ~ 넉넉한 양 그리고 추억의 맛까지 여전히 최고입니다~
육회동은 처음 먹었는데 맛있었어요~ 여기 양배추 양념소스가 젤 맛있어요~ 생각나는맛이에요 ㅋ","9900원 받고 비계를 파는 곳.
기분 나빠서 대충 살코기만 건져먹고 다 버림.
다른거 먹으러 나옴.",직원분들도 친절하시고 음식도 맛있었습니다!,"아웃닭 기름 깨끗하고 맛있어요!
다음에는 다른 양념도 먹어봐야겠어요",,"쌀쌀한 날씨에 뜨끈한 국물로 몸과 속이 풀리는것 같아요.
이 가게만의 특별한 소스와 함께 먹으니 맛있네요♡
다음에도 재방문할게요~","너무 맛있게 잘 먹었습니다 ! 고기가 엄청 부드러워서 뼈가 잘 발라져용
사장님도 너무 친절하시고 서비스도 주셨어요 센스도 짱 ????",맛있어요ㅎㅎㅎ,맛있어요!!~,메뉴가 매우 맛있고 직원이 친절합니다,"단 돈 19,500원에 정말 다양한 부위의 고기를 무한 리필로 맛볼 수 있어 좋았어요~
소스 종류도 정말 많아서 소스쟁이는 넘 만족스러웠어용ㅎㅎ 양이 많았는데 막창도 먹고 싶어 삼겹살+막창 리필해서 배부르게 먹었습니당ㅎㅎ"
"육즙가득 바오에 국수도 맛있고 마파두부도 맛있어요
찐 맛집","예전보다 고명의 양이 줄어서 아쉬웠지만, 맛있게 잘 먹었습니다",맛있어요,"여기 진짜 미친 맛집입니다!
재료부터 사이드메뉴까지 너어어어어어무 맛있어요♡
육회 너무 쫄깃하고 연어도 너무 잘 구워지고
가라아게도 바삭, 통통 ㅜㅜ 감동입니다.
사장님과 직원분도 너무 잘 챙겨주셔서
기분좋게 식사했어요! 또 먹으러 갈거예요!","혼밥하기 너무 좋은 장소.
1인 보쌈 강추!!!",맛있어요,치킨이 맛있고 직원분들이 친절해용??,일반 돈까스랑 고치돈 먹었는데 아주 맛있어용,너무 맛있어요~재방문할게요,"세트메뉴 구성이 너무 좋아요~~
맵기도 10~100%까지 조절되서 맵찔이도 가능!!
고추만두도 너무 맛나용 ㅎㅎ",매번 배달시켜먹다가 매장와서는 처음먹어보는데 맛있어요,친절하고 양도 많고 맛있습니다~,저탄수 다이어트해서 수육과 오징어무침 먹으러 왔어요??????,"삼겹살+막창 삼막이 메뉴도 맛있는데, 새로 생긴 금쪽등갈비 금쪽이 메뉴도 맛있어서 신촌에서 고기 푸짐하고 맛있게~! 가성비 좋게 즐기고 싶으시다면 신촌 고기 무한리필 [화로상회 신촌점] 추천드립니다~!"
"우육면이 좋다하여 갔습니다.
우육면의 향이 앙해 호불호가 갈릴 수 있지만 고기는 매우 맛있습니다.
새우새오롱은 가격만큼의 가치가 있다고 생각합니다.7개가 나왔지만 1개를 먹고 사진을 찍었습니다.
다음 방문을 할 의사가 있으며
다음 방문시 기스면을 주문할 생각입니다.","여긴너무맛있어요.
근처 식당은 너무별로라안갑니다.

또갈게요!",장어덮밥이 별미였어요 느끼하지 않고 맛있어용 ! ??,"십여년전에 우연히 먹어본이후
지금까지도 이곳보다 맛있는 육회동은 먹어본적이없습니다
신촌에 갈일이 생길때면 꼭한번씩 찾는곳이고
육회동 이외 다른메뉴들도 다 맛있어요????
기본으로 제공되는 양배추도맛있는데
드레싱도 따로판매가되서 저도집에있어요!!
친절하시고 맛있고 무엇보다 신촌 대학가상권이라서
가격도착해서 다좋아요^^","1인상으로 나와서 좋아요 ㅎ
고기잡내없고 맛있어요 ㅎ",쉬림프카레에 쉬림프 엄청 통통하고 소시지도 육즙 팡팡ㅜㅜ 오징어링도 완전 바삭하고 너무 맛있어유ㅠㅠㅠ,"아웃닭은 언제 먹어도 실패가 없어요 ㅠ.ㅠ
갓 튀겨진 치킨이 진짜 최고... ????","엠브로돈까스 유명해서 방문했어요~
양도 너무 많고 종업원분들도 친절해서 자주 방문 할 것 같습니다!!",해장으로 최곱니다!,"청결하고 맛있습니다.
근래에 먹은 매운갈비찜 중 원탑입니다.
너무 맛있게 먹고 갑니다.
재방문 의사 있습니다!","헤비한 음식 안먹고 싶을때 추천드려요 !!
샐러드 겁나많슴니다",오늘도 잘먹고 갑니당!!??,졸라 맛있음.직원이 친절함.돌판오제 2인분에 오징어튀김에 공기밥시켜먹음.볶음밥시키면 볶아주는듯.맛있어거 다먹고찍었네요,"이번에 새로 리뉴얼 했다고 해서 가봤는데 대만족이였어요!!
실내 인테리어도 너무 깔끔하고 쾌적했고요. 무엇보다 고기가…. 정말 정말 맛있었어서 나중에 부모님 모시고도 한번 가려구요. 왕추천!!"
"딤섬은 안에 찹쌀밥 같은 당면? 이 가득해서
뭔가 싶고 떡에 가까운 식감이라 내 취향이 아니였음.
우육면과 마파두부도 소소하고.
공깃밥은 매우 질고 떡이져있었음.","오늘따라
내용물이 너무 허술~ㅠ
맛은 있음ㅋ",장어덮밥 15000,????,"가성비좋은 혼밥하기 좋은곳 ㅎㅎ
1인 보쌈 ??",2단계 맵기로 주문했는데 느끼함이 없고 깔끔한 맛이에요.,양념이랑 간장 반반 짱맛있어욜 !!! ㅎㅎㅎ,양 많고 맛있어요!!,,사장님이 친절하셨고 너무 맛있었어요 특히 매장물도 너무맛있고 갈비도 양이많았습니다 재방문의사있습니다 너무 잘먹었습니다^^,맛있어요 다이어트식으로 좋고 매장도 넓어요,많이 찾아보고 왔는데 대창도 잘 익었고 소스도 맛있는 거 같아요!!!!!!,음식이 넘넘 깔끔하고 맛있어요~완전 강추~절대 후회하지 않을 꺼에요~^^!!,
